,Denomination Count
A,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2100,0.0039288997650146484,0.004835844039916992,0.005647182464599609,0.006510019302368164,0.007157087326049805,0.007992029190063477,0.008685111999511719,0.00952601432800293,0.010242938995361328,0.010928869247436523,0.011548042297363281,0.012368202209472656,0.012907981872558594,0.013724088668823242,0.014293909072875977,0.015131950378417969,0.01580214500427246,0.016412019729614258,0.017138004302978516,0.017808914184570312,0.018574953079223633,0.019076108932495117,0.019726991653442383,0.020375967025756836,0.0225069522857666,0.021636962890625,0.022397994995117188,0.02299809455871582,0.023667097091674805,0.02396702766418457
2200,0.004129171371459961,0.005040884017944336,0.006004810333251953,0.0067348480224609375,0.007513999938964844,0.008440971374511719,0.009155988693237305,0.009918928146362305,0.010738134384155273,0.011441946029663086,0.012301921844482422,0.012916088104248047,0.013606071472167969,0.014401912689208984,0.015249013900756836,0.015798091888427734,0.016583919525146484,0.0172269344329834,0.018133163452148438,0.018583059310913086,0.019412994384765625,0.02002716064453125,0.02084183692932129,0.021381855010986328,0.02202892303466797,0.02246713638305664,0.023279905319213867,0.023663997650146484,0.024307966232299805,0.024906158447265625
2300,0.0044062137603759766,0.0052490234375,0.0061969757080078125,0.007066011428833008,0.007951974868774414,0.0087890625,0.009531974792480469,0.010370016098022461,0.012659072875976562,0.012078046798706055,0.012777090072631836,0.013612985610961914,0.014575004577636719,0.015175819396972656,0.015790939331054688,0.01679706573486328,0.017702102661132812,0.01815009117126465,0.01901698112487793,0.019675016403198242,0.0209197998046875,0.02112293243408203,0.02182316780090332,0.02265787124633789,0.023719072341918945,0.02384495735168457,0.024554014205932617,0.02520585060119629,0.02620100975036621,0.026469945907592773
2400,0.004453897476196289,0.005585193634033203,0.006543874740600586,0.007401943206787109,0.00821995735168457,0.009202003479003906,0.010190010070800781,0.01085209846496582,0.011934995651245117,0.012453079223632812,0.013556957244873047,0.014111995697021484,0.014928102493286133,0.01575303077697754,0.016675949096679688,0.017319917678833008,0.018008947372436523,0.018769025802612305,0.01998591423034668,0.02039504051208496,0.021403074264526367,0.02189922332763672,0.022914886474609375,0.02489614486694336,0.024425983428955078,0.024998188018798828,0.025804996490478516,0.026257991790771484,0.026957035064697266,0.027599096298217773
2500,0.004724979400634766,0.005788087844848633,0.006721019744873047,0.00783681869506836,0.008571863174438477,0.009605884552001953,0.01061105728149414,0.011375188827514648,0.012250900268554688,0.013152837753295898,0.013875007629394531,0.014807939529418945,0.015722990036010742,0.016458988189697266,0.017234086990356445,0.018251895904541016,0.01891803741455078,0.01967906951904297,0.020735979080200195,0.02130913734436035,0.022223949432373047,0.02336597442626953,0.02368903160095215,0.024595022201538086,0.02550983428955078,0.02586817741394043,0.026569128036499023,0.02904486656188965,0.028299808502197266,0.028995990753173828
2600,0.004940032958984375,0.006044864654541016,0.007029056549072266,0.008165121078491211,0.008862018585205078,0.010013103485107422,0.011112213134765625,0.011775970458984375,0.012674093246459961,0.01376795768737793,0.014335870742797852,0.015364885330200195,0.016340970993041992,0.017065048217773438,0.017884016036987305,0.019128084182739258,0.01958298683166504,0.020468950271606445,0.021708965301513672,0.022130966186523438,0.023096084594726562,0.02406907081604004,0.024662017822265625,0.025508880615234375,0.026703834533691406,0.02692389488220215,0.02766585350036621,0.02871990203857422,0.02909111976623535,0.029809951782226562
2700,0.0065441131591796875,0.006229877471923828,0.007174968719482422,0.00851297378540039,0.009219169616699219,0.010390996932983398,0.011557817459106445,0.012269020080566406,0.013242959976196289,0.014482975006103516,0.0151519775390625,0.016073942184448242,0.017236948013305664,0.01796412467956543,0.01878499984741211,0.02014303207397461,0.02060222625732422,0.021577835083007812,0.02286386489868164,0.023324012756347656,0.02440190315246582,0.025493860244750977,0.0258941650390625,0.02694416046142578,0.0281679630279541,0.028469085693359375,0.029226064682006836,0.030395984649658203,0.030716896057128906,0.031469106674194336
2800,0.005464792251586914,0.006478071212768555,0.007544040679931641,0.009908914566040039,0.009579896926879883,0.011161088943481445,0.011731147766113281,0.012773990631103516,0.013898134231567383,0.014795064926147461,0.016026973724365234,0.01678180694580078,0.018091917037963867,0.018610000610351562,0.019528865814208984,0.02068305015563965,0.021380186080932617,0.02276611328125,0.023329973220825195,0.024244070053100586,0.02523493766784668,0.02599787712097168,0.02734208106994629,0.028038978576660156,0.029406070709228516,0.02947092056274414,0.030295133590698242,0.03132891654968262,0.03190493583679199,0.03514909744262695
2900,0.005506038665771484,0.006747007369995117,0.00812387466430664,0.008969783782958984,0.010143041610717773,0.011173009872436523,0.012011051177978516,0.013144969940185547,0.014213800430297852,0.015481948852539062,0.015997886657714844,0.017565011978149414,0.018065929412841797,0.019309043884277344,0.020255088806152344,0.021030187606811523,0.02246689796447754,0.022967815399169922,0.02395319938659668,0.024831056594848633,0.025906085968017578,0.02704596519470215,0.027559995651245117,0.029271841049194336,0.02951502799987793,0.03025078773498535,0.03292393684387207,0.03224802017211914,0.03380179405212402,0.03397488594055176
3000,0.005594015121459961,0.007001161575317383,0.008247137069702148,0.009472846984863281,0.010275840759277344,0.011487007141113281,0.012549161911010742,0.013660907745361328,0.014780044555664062,0.01573920249938965,0.016967058181762695,0.01777791976928711,0.018615007400512695,0.019973039627075195,0.020750045776367188,0.022119998931884766,0.02276301383972168,0.023734092712402344,0.02480292320251465,0.025677919387817383,0.02706599235534668,0.02760004997253418,0.029066085815429688,0.031196117401123047,0.030976057052612305,0.0316770076751709,0.032628774642944336,0.03377699851989746,0.03434896469116211,0.03591299057006836
